"EZ_ID","pop","N"
506,6.13813954591751,113
507,0,126
508,99.6889653205872,37
509,0,98
510,0,96
511,74.866700053215,22
512,77.3405577819794,30
513,88.8821190744638,28
514,63.2228357791901,4
515,63.529745221138,6
516,114.764606652781,50
517,70.7281045168638,3
518,87.4684864562005,14
519,72.7369508743286,7
520,52.4066913127899,91
521,77.024347960949,90
522,84.2785140275955,24
523,67.9752443879843,30
524,87.2452807426453,20
525,77.5730613619089,33
526,79.4703063964844,11
527,138.368540287018,25
528,49.9328337311745,24
529,75.3224114775658,8
530,50.7140522450209,9
531,44.1574028432369,4
532,68.0589461326599,16
533,76.4477379415184,83
534,65.1386804580688,74
535,0,80
536,38.4749741107225,80
537,0,84
538,0,101
539,61.1772533655167,7
540,54.381560832262,21
541,72.9655331671238,10
542,88.9690679311752,30
543,91.7658805847168,3
544,84.5614829063416,7
545,50.5109017603099,4
546,65.737096786499,8
547,94.0978905558586,6
548,105.237056851387,17
549,74.4400715827942,4
550,85.2186161279678,10
551,52.097632676363,36
552,70.072555065155,6
553,96.4619587212801,12
554,93.6731605529785,11
555,56.6093937568367,12
556,68.7823371887207,2
557,67.8607482910156,1
558,66.9231405071914,6
559,97.8483428955078,1
560,62.1308937072754,2
561,58.885311126709,1
562,68.4056901931763,4
563,86.6610941886902,3
564,64.8395547866821,4
565,53.724429987371,25
566,70.7857849784195,61
567,56.8498086929321,27
568,55.9442501068115,2
569,93.8574802279472,4
570,19.5536408424377,2
571,83.1991405710578,29
572,68.3175383806229,13
573,70.5293437242508,4
574,73.5745828151703,4
575,49.9900062680244,7
576,97.1511459350586,3
577,29.9555368423462,3
578,80.666784286499,3
579,79.7852668762207,2
580,79.3044395446777,2
581,46.1994857788086,1
582,30.6367087885737,6
583,90.219220161438,3
584,34.4031902551651,2
585,113.018441915512,4
586,141.707801818848,2
587,18.2153396606445,1
588,73.2139630317688,3
589,76.283242225647,5
590,96.5741524994373,24
591,0,80
592,0,125
593,35.9097822718322,20
594,0,100
595,0,82
596,0,140
597,0,100
598,33.4495488852262,110
599,6.91589853912592,100
600,1.97139168530703,100
601,0,100
602,0,83
603,0,80
604,0,97
605,0,100
606,0,100
607,0,100
608,0,100
609,0,100
610,0,100
611,4.47169335186481,85
612,132.1313303262,121
613,0,100
614,0,100
615,0,100
616,0,100
617,0,100
618,0,100
619,0,120
620,0,100
621,0,100
622,0,100
623,0,100
624,0,100
625,0,100
626,0,75
627,0,100
628,0,100
629,0,100
630,0,100
631,0,100
632,0,100
633,0,100
634,0,92
635,0,1
636,0,100
637,0,100
638,0,100
639,0,100
640,0,100
641,0,100
642,0,100
643,0,126
644,2.6926326751709,2
645,17.3819050788879,100
646,0,100
647,0,100
648,3.413873385638,83
649,56.5773387365043,64
650,34.8038783594966,71
651,36.8794493898749,144
652,80.7869908437133,23
653,11.1231369785964,129
654,8.02180144190788,73
655,0,88
656,0,120
657,0,124
658,0,142
659,75.3215897083282,70
660,168.393715836108,12
661,0.60904785245657,6
662,86.5088348388672,4
663,59.1497635617852,6
664,37.6888408660889,4
665,172.360540412366,10
666,87.2861740104854,13
667,27.9440765306354,24
668,6.46712659299374,18
669,81.2838455624878,99
670,12.1328740045428,23
671,68.0851379297674,39
672,61.7702751159668,4
673,75.2414512634277,4
674,100.805429458618,3
675,104.940551757812,2
676,7.5970704741776,87
677,0,74
678,0,103
679,0,80
680,0,80
681,0,80
682,0,80
683,31.9910396523774,140
684,19.8180960863829,90
685,0,96
686,0,80
687,0,144
688,0,114
689,0,84
690,0,100
691,0,77
692,0,140
693,0,96
694,0,80
695,0,100
696,0,100
697,0,100
698,0,80
699,0,145
700,0,127
701,0,109
702,0,123
703,0,100
704,0,100
705,0,100
706,0,100
707,0,100
708,0,85
709,0,90
